Date,Parameter1,Parameter2,Parameter3,Parameter4
2004-02-14,388012,238850,487654,449790
2004-02-15,828165,256688,602468,948525
2004-02-16,627170,364986,874920,276871
2004-02-17,742809,832808,233972,39042
2004-02-18,943531,639587,482582,312895
2004-02-19,873103,850357,521989,184147
2004-02-20,548544,622523,759264,72233
2004-02-21,399007,140996,290836,411633
2004-02-22,272621,512959,905431,322649
2004-02-23,327251,468597,107240,368407
2004-02-24,425772,702116,207342,304818
2004-02-25,281567,728872,645681,778570
2004-02-26,580271,615302,796279,36311
2004-02-27,369804,374158,306612,722593
2004-02-28,581696,249807,480706,43051
2004-02-29,289047,207997,464531,173523
2004-03-01,442418,357873,667354,166967
2004-03-02,962775,335717,216804,353331
2004-03-03,46717,144161,347534,822626
2004-03-04,956452,908652,737543,598693
2004-03-05,706187,105619,341945,480831
2004-03-06,786006,519628,69968,417603
2004-03-07,780719,319659,815626,556973
2004-03-08,254457,323894,408427,328953
2004-03-09,525880,433865,749206,509255
2004-03-10,790777,285651,282330,58475
2004-03-11,869086,2400,62597,352433
2004-03-12,137029,480092,631801,405633
2004-03-13,150309,687452,735436,360374
2004-03-14,410068,804191,148440,761599
2004-03-15,543481,378429,73208,331684
2004-03-16,975358,451556,83480,888001
2004-03-17,56714,235661,494223,621993
2004-03-18,103864,556202,534744,25694
2004-03-19,559830,470241,782570,26034
2004-03-20,920362,361194,671642,381024
2004-03-21,806046,321298,890423,918193
2004-03-22,592990,480621,351586,316371
2004-03-23,743190,260936,922002,640559
2004-03-24,602086,227441,661163,540287
2004-03-25,118199,371961,514533,648970
2004-03-26,802982,878038,385414,632108
2004-03-27,635960,740801,790701,911088
2004-03-28,232903,425008,244505,4908
2004-03-29,11634,871775,659409,642785
2004-03-30,222586,691284,754171,164205
2004-03-31,621390,576164,694416,475652
2004-04-01,120203,114263,602039,901696
2004-04-02,755079,944081,131319,851348
2004-04-03,599392,577709,486840,889654
2004-04-04,117842,857994,236061,130284
2004-04-05,601076,124809,47424,438131
2004-04-06,301602,464814,630145,989949
2004-04-07,991295,790673,28284,696271
2004-04-08,589314,111354,619181,840361
2004-04-09,330430,380355,211178,448502
2004-04-10,970631,932385,650605,25118
2004-04-11,242219,158017,196564,106214
2004-04-12,981599,230548,503322,844713
2004-04-13,364306,617154,355925,643026
2004-04-14,764052,186494,242226,833531
2004-04-15,927239,207760,420338,886110
2004-04-16,816854,425929,51867,772181
2004-04-17,856372,776078,186980,879090
2004-04-18,925177,616065,664995,907629
2004-04-19,247589,723619,166480,596295
2004-04-20,221282,941522,154141,805356
2004-04-21,107822,322689,457863,969413
2004-04-22,565095,336555,439367,185504
2004-04-23,947242,652281,264063,613584
2004-04-24,424252,28485,939810,505384
2004-04-25,160498,253003,295856,317630
2004-04-26,134528,411110,522885,26330
2004-04-27,928872,564992,483445,206759
2004-04-28,964343,428248,346622,136315
2004-04-29,810320,170727,947720,697052
2004-04-30,543310,657645,484552,603937
2004-05-01,690153,567392,645675,541506
2004-05-02,658342,605367,164829,469097
2004-05-03,516775,674704,423604,283215
2004-05-04,918810,124537,237313,799943
2004-05-05,822302,560323,629286,189652
2004-05-06,485118,91386,581596,408077
2004-05-07,359081,314815,158471,537440
2004-05-08,269159,268360,670033,672029
2004-05-09,686473,804832,168120,433476
2004-05-10,932896,435094,708080,134611
2004-05-11,350904,533432,849326,528522
2004-05-12,71221,325684,613369,457060
2004-05-13,659335,810480,407832,573516
2004-05-14,629708,486353,523043,15034
2004-05-15,396183,729243,829129,898774
2004-05-16,961361,192832,756778,795520
2004-05-17,152500,450861,452547,780699
2004-05-18,855189,712899,75052,767331
2004-05-19,705612,228378,287236,144058
2004-05-20,431062,48355,814048,285544
2004-05-21,979351,793997,208236,886481
2004-05-22,314949,628945,145398,433222
2004-05-23,751890,247198,659575,23085
2004-05-24,342757,746205,166989,613554
2004-05-25,70181,930638,250648,545456
2004-05-26,9863,457502,920391,844715
2004-05-27,38973,527333,864147,822542
2004-05-28,887939,358653,154747,777057
2004-05-29,598529,230828,589659,378540
2004-05-30,578438,400304,985522,946420
2004-05-31,940412,512614,51163,397468
2004-06-01,886599,689417,89438,308413
2004-06-02,121179,937136,885404,275366
2004-06-03,253370,214368,529821,242887
2004-06-04,880159,626872,22857,570443
2004-06-05,812808,744772,737383,48673
2004-06-06,622542,806790,488295,134851
2004-06-07,937847,725491,283989,627606
2004-06-08,47503,421057,554925,551821
2004-06-09,602119,47961,822886,202845
2004-06-10,521607,1000,751495,328326
2004-06-11,209825,489958,283693,35008
2004-06-12,20393,268483,874841,615530
2004-06-13,133049,215035,194970,173494
2004-06-14,648327,558101,65012,248039
2004-06-15,720889,748878,325190,387371
2004-06-16,998331,4894,884785,302007
2004-06-17,373780,218681,553079,680988
2004-06-18,22855,140343,70484,768314
2004-06-19,550322,144386,26002,827919
2004-06-20,770702,577840,254420,207512
2004-06-21,21878,288278,343848,528747
2004-06-22,497807,332941,30226,477554
2004-06-23,397010,100441,450607,84058
2004-06-24,514442,461680,536737,337598
2004-06-25,74211,919339,390439,960193
2004-06-26,842715,302667,529008,555546
2004-06-27,50813,553968,684055,170606
2004-06-28,535019,145994,511732,244063
2004-06-29,109889,20785,50446,676285
2004-06-30,729500,446188,473564,987095
2004-07-01,115042,537765,939989,258016
2004-07-02,887216,72921,334589,273388
2004-07-03,331779,439660,796588,98433
2004-07-04,744380,868131,509221,379986
2004-07-05,36849,686611,351815,893137
2004-07-06,479363,921884,13900,499758
2004-07-07,443467,174076,360947,301548
2004-07-08,902468,580970,714405,110556
2004-07-09,716254,974192,803303,294913
2004-07-10,917415,451001,794012,674980
2004-07-11,657334,462707,250235,873285
2004-07-12,738304,845245,287495,40773
2004-07-13,479392,853931,595565,972672
2004-07-14,978704,85369,889,883522
2004-07-15,776209,953840,358912,506315
2004-07-16,681355,964796,601745,656995
2004-07-17,119140,384650,356030,549662
2004-07-18,1056,609103,515237,753632
2004-07-19,191353,733024,544782,598920
2004-07-20,412131,953283,785899,708866
2004-07-21,649078,3864,436468,699492
2004-07-22,326811,409290,325431,395111
2004-07-23,509552,470400,728633,890393
2004-07-24,277090,433310,59606,824467
2004-07-25,183045,180969,387121,922355
2004-07-26,877401,129651,787537,581191
2004-07-27,130652,449761,882211,249704
2004-07-28,401042,328237,549742,788494
2004-07-29,302595,216793,737461,548740
2004-07-30,283420,474087,922272,184750
2004-07-31,314306,856694,377702,80673
2004-08-01,229718,198460,568697,68901
2004-08-02,840086,403828,753119,271211
2004-08-03,337269,575797,991449,838430
2004-08-04,279838,324967,120074,352239
2004-08-05,655330,511769,592635,845780
2004-08-06,268848,249958,549489,616142
2004-08-07,672321,802252,547006,693147
2004-08-08,643293,104580,309250,287608
2004-08-09,364477,444252,669247,360717
2004-08-10,280723,556756,343515,335303
2004-08-11,954323,118986,405964,822610
2004-08-12,785385,924959,82552,970534
2004-08-13,189620,605331,668405,79284
2004-08-14,284158,261890,187792,350183
2004-08-15,311294,544516,113424,905801
2004-08-16,398633,915279,901251,929879
2004-08-17,701789,858406,896217,880991
2004-08-18,303595,684065,74258,716610
2004-08-19,579937,368658,79079,429480
2004-08-20,332787,13160,632618,349862
2004-08-21,649297,705184,94440,812841
2004-08-22,971622,14304,383392,869607
2004-08-23,686785,956365,33916,716677
2004-08-24,313778,337011,426546,169664
2004-08-25,374569,581840,848049,549432
2004-08-26,619643,262305,806403,282839
2004-08-27,339233,961826,443464,458752
2004-08-28,507350,343859,310644,647985
2004-08-29,885246,332095,559229,831163
2004-08-30,623186,53710,665983,44640
2004-08-31,899985,509487,678917,537333
2004-09-01,535008,436162,80057,545447
2004-09-02,962132,347021,983124,536528
2004-09-03,385779,737117,986028,729082
2004-09-04,157111,925748,602777,74551
2004-09-05,293591,253099,113350,701387
2004-09-06,176092,436842,203484,536526
2004-09-07,480430,660066,349207,633280
2004-09-08,455002,343485,463832,444163
2004-09-09,761671,933598,295818,159733
2004-09-10,508009,107460,465546,788616
2004-09-11,665145,61663,543905,808655
2004-09-12,660244,751931,511049,529145
2004-09-13,552617,208511,522130,174334
2004-09-14,331503,368566,997059,999753
2004-09-15,990795,824133,353377,796442
2004-09-16,783815,66686,222794,191989
2004-09-17,496934,657920,696859,360096
2004-09-18,84763,534658,47267,125778
2004-09-19,508297,191172,497726,530696
2004-09-20,763889,295980,188818,298855
2004-09-21,399782,376192,405767,107508
2004-09-22,161245,411430,950471,61813
2004-09-23,21361,102588,185558,824380
2004-09-24,348378,164763,973578,821216
2004-09-25,723097,678491,501244,887242
2004-09-26,685838,898942,86043,287500
2004-09-27,997413,738831,283629,830924
2004-09-28,402098,756647,978500,565947
2004-09-29,636252,67581,902092,778427
2004-09-30,258760,125862,103619,189386
2004-10-01,48298,38582,546231,195490
2004-10-02,595915,880959,895792,535929
2004-10-03,342326,957370,712555,667038
2004-10-04,181885,591422,2371,774188
2004-10-05,503459,120398,78169,48607
2004-10-06,593787,592146,319386,450726
2004-10-07,620319,840443,274344,818329
2004-10-08,105826,260167,129863,255128
2004-10-09,645370,423865,843566,260193
2004-10-10,566651,419814,42594,967357
2004-10-11,840622,849944,201930,769161
2004-10-12,203492,689446,581059,457945
2004-10-13,171153,653446,516856,547156
2004-10-14,106330,880020,853340,892720
2004-10-15,671209,817910,509963,188625
2004-10-16,503900,162730,958899,981044
2004-10-17,920757,314852,740384,527558
2004-10-18,388374,872650,459592,630208
2004-10-19,226746,476694,465044,603684
2004-10-20,538281,186529,110213,314473
2004-10-21,150787,618199,358270,582548
2004-10-22,752988,590894,212905,669658
2004-10-23,367076,623090,465165,933224
2004-10-24,269122,980406,277195,482226
2004-10-25,715054,196713,417402,799244
2004-10-26,498900,52906,748642,103303
2004-10-27,143848,922547,897260,118440
2004-10-28,233202,151492,365187,325086
2004-10-29,225764,365653,545679,946390
2004-10-30,537224,51000,613116,654890
2004-10-31,778791,371789,444668,906589
2004-11-01,575385,58922,16225,785238
2004-11-02,702927,838157,608824,951768
2004-11-03,841054,154422,885628,984131
2004-11-04,155951,162700,446379,113586
2004-11-05,483746,443352,697081,450729
2004-11-06,641092,629027,853194,641176
2004-11-07,362553,760147,297209,501957
2004-11-08,497110,556553,720835,225293
2004-11-09,849049,976909,152366,582373
2004-11-10,848073,496150,186741,847830
2004-11-11,68183,266792,188592,549026
2004-11-12,99134,30628,835534,80487
2004-11-13,265255,597365,994549,565856
2004-11-14,163328,746972,210145,574168
2004-11-15,136440,704639,865,437961
2004-11-16,885874,884393,65444,639619
2004-11-17,554362,572167,976535,128982
2004-11-18,976588,509662,432567,482200
2004-11-19,310990,351455,11773,783846
2004-11-20,551047,13301,722998,569034
2004-11-21,912223,717623,585085,832291
2004-11-22,946135,111563,11059,489236
2004-11-23,70582,228985,344992,126825
2004-11-24,234619,903390,890325,913324
2004-11-25,51795,83535,613100,777548
2004-11-26,153813,600461,19328,947248
2004-11-27,590611,98403,512404,948779
2004-11-28,756214,689635,262491,888780
2004-11-29,412847,429460,6820,336964
2004-11-30,775443,685291,950761,841962
2004-12-01,251116,724154,641824,239857
2004-12-02,497186,536855,248167,904648
2004-12-03,585899,883381,107577,615423
2004-12-04,562829,276261,728605,566983
2004-12-05,469412,555796,973742,265911
2004-12-06,478745,901496,394327,212178
2004-12-07,21601,118163,592250,802970
2004-12-08,47928,33004,975779,315574
2004-12-09,575509,660114,186447,443576
2004-12-10,166178,331844,140651,789048
2004-12-11,944750,812989,921908,392831
2004-12-12,526105,859080,952207,250421
2004-12-13,796779,129838,3161,333000
2004-12-14,984843,188382,619473,624573
2004-12-15,722707,795824,168627,258594
2004-12-16,522929,433684,826655,613422
2004-12-17,437169,776776,507851,884432
2004-12-18,120738,196037,831060,358740
2004-12-19,378754,729705,489695,428874
2004-12-20,235806,862114,203408,371250
2004-12-21,545389,392040,131236,533189
2004-12-22,112166,128519,267559,933360
2004-12-23,699151,664370,549515,12811
2004-12-24,617803,98357,503444,694131
2004-12-25,590552,109526,554970,40934
2004-12-26,621372,136459,698680,314454
2004-12-27,880772,209612,466673,358219
2004-12-28,667987,936992,483059,93330
2004-12-29,745693,950463,400858,536530
2004-12-30,299790,272055,227498,717471
2004-12-31,731985,433339,903215,810964
2005-01-01,798472,811839,249862,715070
2005-01-02,725069,167313,585581,551447
2005-01-03,368343,693402,779811,238952
2005-01-04,199261,215091,734088,515253
2005-01-05,77679,912673,322631,134718
2005-01-06,999051,559642,109861,165962
2005-01-07,684624,993558,62642,883217
2005-01-08,63538,917955,697467,428926
2005-01-09,260844,145247,742133,20265
2005-01-10,714071,151886,283536,261375
2005-01-11,991564,359634,723465,123245
2005-01-12,908582,533245,168779,600328
2005-01-13,341144,325119,986837,114591
2005-01-14,908383,43514,485180,92977
2005-01-15,621540,557538,553523,382832
2005-01-16,230781,575848,382766,835769
2005-01-17,549822,277183,231751,650672
2005-01-18,495032,276625,722828,742069
2005-01-19,665921,528937,97856,281534
2005-01-20,349274,409676,416627,237032
2005-01-21,238436,409383,88808,721626
2005-01-22,706449,291489,933397,611434
2005-01-23,557797,141600,357381,405484
2005-01-24,795931,357525,990214,459319
2005-01-25,560473,329141,659499,850057
2005-01-26,198366,515776,23834,525600
2005-01-27,558313,40270,834397,20823
2005-01-28,81689,865346,968246,77152
2005-01-29,913254,863409,183168,794169
2005-01-30,214368,849223,227459,778852
2005-01-31,778956,657359,499339,864261
2005-02-01,631217,35359,971991,669559
2005-02-02,27962,906153,35865,590448
2005-02-03,866261,48072,115596,433601
2005-02-04,748522,811207,135745,729586
2005-02-05,780258,928164,794884,300978
2005-02-06,735612,656458,752052,917087
2005-02-07,680193,626087,604543,229183
2005-02-08,432525,520303,171969,73951
2005-02-09,106421,198750,752326,549817
2005-02-10,19221,580461,431522,804723
2005-02-11,18689,989544,923099,869513
2005-02-12,908237,56489,533613,969441
2005-02-13,747679,237865,668176,200443
2005-02-14,760637,944389,42638,415587
2005-02-15,211927,887509,394086,881178
2005-02-16,364291,175878,116720,907458
2005-02-17,553163,622910,327281,351010
2005-02-18,501750,966928,881226,850950
2005-02-19,37552,309456,24509,771045
2005-02-20,290898,214360,108085,431934
2005-02-21,206270,203630,119926,749407
2005-02-22,656409,43411,638138,185052
2005-02-23,719778,121939,107071,796885
2005-02-24,438290,920816,974989,303691
2005-02-25,470513,992891,937983,232361
2005-02-26,893889,751269,871725,19254
2005-02-27,612124,226880,638178,339449
2005-02-28,603908,811451,891105,887460
2005-03-01,818039,270945,500919,802023
2005-03-02,941172,951365,399521,754669
2005-03-03,670869,528073,238654,100080
2005-03-04,900422,186837,211879,214107
2005-03-05,143381,163463,508301,453460
2005-03-06,719845,740138,966225,152177
2005-03-07,237150,460697,231241,318804
2005-03-08,566420,953144,112013,502402
2005-03-09,404094,205743,284901,574053
2005-03-10,134057,505173,909750,273947
2005-03-11,664288,752492,907678,436754
2005-03-12,630709,399821,736167,900813
2005-03-13,926329,468402,957025,285906
2005-03-14,817792,222549,765288,574844
2005-03-15,291262,441802,546624,81931
2005-03-16,336159,564696,850758,133070
2005-03-17,45924,657499,508556,745388
2005-03-18,488089,74017,116866,505348
2005-03-19,640325,219930,240545,106087
2005-03-20,776392,595940,696975,521933
2005-03-21,391953,298257,803665,155219
2005-03-22,595919,384533,943267,459307
2005-03-23,913556,678893,507231,566012
2005-03-24,202541,400898,8670,4647
2005-03-25,604527,594511,358011,571195
2005-03-26,567517,301612,33830,704153
2005-03-27,930098,112322,230352,321359
2005-03-28,131251,182855,572714,885491
2005-03-29,919416,143908,536429,281684
2005-03-30,181724,635438,949480,827729
2005-03-31,359368,277426,568145,90167
2005-04-01,190414,941803,792316,929089
2005-04-02,594337,606432,836103,476253
2005-04-03,764514,814659,568888,626796
2005-04-04,706683,371459,625541,678739
2005-04-05,543005,722418,685224,953694
2005-04-06,3990,247415,188221,170393
2005-04-07,816880,38817,544475,947932
2005-04-08,505559,912941,57409,684581
2005-04-09,854019,37913,912578,177786
2005-04-10,883448,463525,965060,766539
2005-04-11,729350,858276,888769,496848
2005-04-12,786088,555299,454237,21330
2005-04-13,239063,208659,9045,676329
2005-04-14,622924,403501,422058,385846
2005-04-15,736197,602480,262051,102473
2005-04-16,430341,980179,766690,981916
2005-04-17,424963,131809,653543,568411
2005-04-18,887556,499858,107458,878446
2005-04-19,4543,29595,601369,265012
2005-04-20,210136,633182,876550,377280
2005-04-21,398085,62239,889096,514854
2005-04-22,532413,262055,521123,778028
2005-04-23,858591,613187,53301,745303
2005-04-24,485945,650646,829459,793835
2005-04-25,719715,375732,411913,242494
2005-04-26,655018,230410,212129,684612
2005-04-27,387667,147317,900872,298200
2005-04-28,72120,924168,330534,606374
2005-04-29,12488,603170,694432,934322
2005-04-30,275100,84202,56343,539709
2005-05-01,851767,138421,670882,542492
2005-05-02,318374,38802,240983,266310
2005-05-03,55575,594444,506798,451103
2005-05-04,771207,850670,716192,264377
2005-05-05,721190,108224,666631,964735
2005-05-06,841933,388025,562027,26250
2005-05-07,748397,833376,408088,688268
2005-05-08,759481,434562,96386,642311
2005-05-09,225365,764177,208639,97880
2005-05-10,925989,61364,107776,757916
2005-05-11,719238,578380,258298,698699
2005-05-12,869514,141639,785747,550368
2005-05-13,713115,950786,918122,457336
2005-05-14,197117,581659,63844,388060
2005-05-15,28532,210842,35128,758081
2005-05-16,175322,950937,85852,976795
2005-05-17,750186,624780,234979,571280
2005-05-18,742457,176017,772128,422052
2005-05-19,354396,22209,667213,849222
2005-05-20,627472,432223,19270,710794
2005-05-21,148850,284840,860253,884455
2005-05-22,797243,968197,93706,981804
2005-05-23,120220,337628,893819,466835
2005-05-24,193283,339996,223144,893130
2005-05-25,26553,716537,126794,675930
2005-05-26,260289,248392,53282,963554
2005-05-27,554101,564214,147055,655081
2005-05-28,967363,532788,904481,480705
2005-05-29,359070,568718,11211,537162
2005-05-30,345363,618630,583000,542142
2005-05-31,703841,43794,750177,37665
2005-06-01,486280,797989,127484,639962
2005-06-02,187838,362442,809273,200162
2005-06-03,69395,787136,401046,549541
2005-06-04,740388,465391,930736,976753
2005-06-05,53872,393571,185548,430733
2005-06-06,590565,688675,605406,833894
2005-06-07,946373,670334,667680,139102
2005-06-08,970556,70673,406141,195160
2005-06-09,583970,983150,840300,52202
2005-06-10,556727,706011,692947,788322
2005-06-11,684798,194570,609709,558885
2005-06-12,34203,57907,627688,48147
2005-06-13,693671,490321,815106,604994
2005-06-14,572655,583220,384507,498718
2005-06-15,967978,187117,701427,875734
2005-06-16,973866,64832,665038,406944
2005-06-17,582643,326945,382135,719777
2005-06-18,979032,14945,121915,254716
2005-06-19,852144,368401,58657,448680
2005-06-20,482207,491986,186464,21135
2005-06-21,436502,46460,891385,884422
2005-06-22,734551,295089,145146,207204
2005-06-23,238889,46444,519785,275820
2005-06-24,703768,251622,794835,918864
2005-06-25,887208,552063,401166,688213
2005-06-26,607648,873735,96196,516962
2005-06-27,55091,831473,618434,707688
2005-06-28,618529,111578,161226,656502
2005-06-29,513052,772976,679483,705574
2005-06-30,655569,922561,278493,219617
2005-07-01,293466,451455,664335,430216
2005-07-02,669266,64958,401311,843852
2005-07-03,131320,771531,891873,825639
2005-07-04,617850,596234,392221,803132
2005-07-05,35663,144671,859339,942577
2005-07-06,456038,241689,753776,844732
2005-07-07,11967,353465,599405,418413
2005-07-08,754454,515137,321512,855608
2005-07-09,888817,16811,21627,900090
2005-07-10,192530,919032,560841,892946
2005-07-11,485589,660611,356655,784251
2005-07-12,804563,670519,656057,840112
2005-07-13,707074,619824,777786,549480
2005-07-14,197726,202561,648029,524437
2005-07-15,385881,609003,418047,610523
2005-07-16,805786,355441,541925,661510
2005-07-17,510759,943987,157013,156319
2005-07-18,205841,191036,805791,380514
2005-07-19,963823,551438,517685,580423
2005-07-20,932368,770135,618838,926715
2005-07-21,333467,577008,491328,609151
2005-07-22,530609,743249,846580,222459
2005-07-23,314499,883726,396626,535613
2005-07-24,573738,130901,622850,222687
2005-07-25,521279,121346,986172,333686
2005-07-26,697318,271092,627670,272452
2005-07-27,797469,6304,731365,873913
2005-07-28,404610,335624,111956,176381
2005-07-29,670059,638244,8624,389949
2005-07-30,395880,585946,421680,607092
2005-07-31,486670,124325,819318,903792
2005-08-01,280844,303887,333757,648721
2005-08-02,643572,823842,166788,421533
2005-08-03,892696,398997,497690,283715
2005-08-04,613916,866263,966996,350011
2005-08-05,134631,628233,949910,733144
2005-08-06,697234,6184,501931,428547
2005-08-07,733401,597758,50429,640878
2005-08-08,707941,583706,647700,76782
2005-08-09,840326,999915,455005,764519
2005-08-10,984045,937878,314672,90267
2005-08-11,845086,707981,334201,974337
2005-08-12,949727,181273,453983,109390
2005-08-13,2594,147655,689725,33156
2005-08-14,772819,106867,983191,16388
2005-08-15,5818,340059,882412,133500
2005-08-16,179612,598415,829,157387
2005-08-17,5064,475596,948454,503841
2005-08-18,413003,379437,485712,148491
2005-08-19,903861,686305,483007,377548
2005-08-20,209680,219925,172307,679631
2005-08-21,243137,489561,750283,792761
2005-08-22,566969,285992,959692,238746
2005-08-23,237471,994479,91364,788335
2005-08-24,519165,578902,982285,279450
2005-08-25,38939,627261,981890,524982
2005-08-26,248944,787726,175283,637440
2005-08-27,730604,862920,89931,828059
2005-08-28,171825,76120,483585,214244
2005-08-29,482441,390979,33449,883163
2005-08-30,77338,519756,270218,442470
2005-08-31,823943,869551,867843,22198
2005-09-01,118541,614870,472072,438530
2005-09-02,371377,54160,383312,49111
2005-09-03,580106,807751,782244,231177
2005-09-04,146731,547602,9835,32840
2005-09-05,582766,436141,576552,220659
2005-09-06,832945,996347,412583,244072
2005-09-07,198111,474135,529364,476020
2005-09-08,717424,289306,818607,363498
2005-09-09,231013,903398,310135,560960
2005-09-10,755474,321218,603836,7409
2005-09-11,270603,39042,780040,487539
2005-09-12,86794,238742,776522,946753
2005-09-13,377500,27251,393459,384789
2005-09-14,449749,270502,686245,574874
2005-09-15,122165,859385,807871,482959
2005-09-16,712758,43690,541152,349611
2005-09-17,97945,820892,850203,579289
2005-09-18,363270,502335,922719,927399
2005-09-19,364394,840977,195715,562704
2005-09-20,889227,307443,168871,858659
2005-09-21,741888,199024,975622,538391
2005-09-22,811809,458706,827601,593036
2005-09-23,676165,940731,402954,237496
2005-09-24,343778,402035,286677,286448
2005-09-25,700512,526594,405405,672052
2005-09-26,100331,843619,519709,406291
2005-09-27,647342,219343,618132,403298
2005-09-28,684376,623724,65359,534462
2005-09-29,153805,446324,870978,496008
2005-09-30,311351,784640,426465,898675
2005-10-01,743147,99949,837133,213079
2005-10-02,778950,985335,287724,648331
2005-10-03,489698,867554,553324,252971
2005-10-04,793907,487602,125351,885602
2005-10-05,318745,578703,886695,556101
2005-10-06,165655,461970,34406,208549
2005-10-07,59058,627789,478893,270489
2005-10-08,862510,591910,428245,154072
2005-10-09,126157,274824,804009,543384
2005-10-10,602332,930384,484560,524906
2005-10-11,662508,400020,2018,174370
2005-10-12,864684,882108,63323,599535
2005-10-13,266381,486170,276030,593746
2005-10-14,518599,222115,383875,669580
2005-10-15,112560,921721,639497,197546
2005-10-16,850065,377169,283564,996199
2005-10-17,154569,360090,48765,1615
2005-10-18,375310,141996,702114,54383
2005-10-19,495774,911495,303123,138508
2005-10-20,966761,50412,845286,654749
2005-10-21,191206,844835,292698,805341
2005-10-22,670586,318476,179287,708244
2005-10-23,583582,281977,234002,834895
2005-10-24,315681,311023,952557,285059
2005-10-25,717432,100721,359598,626000
2005-10-26,859830,677676,854120,175933
2005-10-27,689337,326697,17321,866771
2005-10-28,13529,630838,49389,757319
2005-10-29,111647,287873,865918,1265
2005-10-30,536855,528665,883249,282852
2005-10-31,527284,603472,363622,804502
2005-11-01,204251,241913,313268,582607
2005-11-02,889057,826365,486986,348233
2005-11-03,1907,326522,685227,569340
2005-11-04,257846,83727,965770,50705
2005-11-05,50863,475723,127573,522337
2005-11-06,634033,561509,814758,404738
2005-11-07,659540,66023,325670,889055
2005-11-08,943672,744835,533423,595470
2005-11-09,755804,329389,983431,147941
2005-11-10,573448,357752,199417,915716
2005-11-11,568982,537645,593676,54957
2005-11-12,593470,439731,255796,600255
2005-11-13,908342,786090,143977,760074
2005-11-14,744611,561063,47521,864813
2005-11-15,271991,414228,152537,25558
2005-11-16,74207,776949,208732,301272
2005-11-17,503916,543703,857112,621868
2005-11-18,405336,37071,701727,517815
2005-11-19,77426,638866,736338,10386
2005-11-20,125165,687220,287999,211467
2005-11-21,427999,391847,849431,39666
2005-11-22,777477,124771,436551,629942
2005-11-23,678870,446749,335346,48620
2005-11-24,453137,943892,965192,922753
2005-11-25,411228,803754,557686,526901
2005-11-26,21109,255823,348559,726880
2005-11-27,943491,333920,273958,118480
2005-11-28,245139,163340,188572,326350
2005-11-29,826726,755696,497499,13345
2005-11-30,513489,936760,312447,27015
2005-12-01,261088,811891,516373,303187
2005-12-02,173205,890636,461804,461849
2005-12-03,234853,796633,515099,946629
2005-12-04,138291,790069,400303,548273
2005-12-05,763958,579170,532024,988804
2005-12-06,128139,469502,221167,681624
2005-12-07,237505,589064,270973,493998
2005-12-08,812890,955194,344938,601591
2005-12-09,899821,593688,418702,133062
2005-12-10,937073,309101,573461,841593
2005-12-11,401835,892989,54798,785916
2005-12-12,477682,169089,5361,370060
2005-12-13,629082,419929,186475,45758
2005-12-14,369151,460770,736838,828244
2005-12-15,238009,683086,709324,454874
2005-12-16,890602,413412,746012,287180
2005-12-17,288376,245830,778097,630078
2005-12-18,355931,70317,996573,194273
2005-12-19,759787,874889,445349,898366
2005-12-20,690898,830064,464486,419404
2005-12-21,720353,867713,211011,480698
2005-12-22,596196,728521,944764,628902
2005-12-23,707557,824472,927521,742852
2005-12-24,633442,812604,426226,956561
2005-12-25,834364,247015,871406,797194
2005-12-26,873562,412114,929292,839339
2005-12-27,799510,386046,606604,437537
2005-12-28,994840,709040,120011,465957
2005-12-29,696716,709543,211635,388728
2005-12-30,355403,561426,233891,676252
2005-12-31,213820,611676,756962,321389
2006-01-01,695957,324916,627926,205186
2006-01-02,843088,859394,248167,325500
2006-01-03,957604,841061,795125,441262
2006-01-04,11783,344297,789975,642470
2006-01-05,740285,984228,859916,856102
2006-01-06,152117,398640,701459,867861
2006-01-07,964764,103285,519519,125847
2006-01-08,738072,72536,294203,161953
2006-01-09,115191,70435,12149,482522
2006-01-10,815885,398022,437005,27892
2006-01-11,905550,574289,45732,347179
2006-01-12,971243,386654,755926,428150
2006-01-13,743007,706163,362988,674398
2006-01-14,244040,554056,532702,983238
2006-01-15,182273,466858,886660,42466
2006-01-16,169320,319434,476244,350459
2006-01-17,51827,845648,266983,205817
2006-01-18,142673,136998,579462,199124
2006-01-19,679465,948378,559148,877376
2006-01-20,714939,769311,493132,162941
2006-01-21,243981,76030,725968,58917
2006-01-22,880566,33460,954221,704079
2006-01-23,904623,636348,581457,663031
2006-01-24,544283,244925,425864,974952
2006-01-25,208845,690211,475297,149489
2006-01-26,903291,447266,455404,999063
2006-01-27,274984,713866,664953,345322
2006-01-28,115931,525992,430388,415817
2006-01-29,624032,529516,653159,714786
2006-01-30,782078,306484,28789,933227
2006-01-31,9402,663692,229324,529570
2006-02-01,96844,576873,144986,725915
2006-02-02,330957,895131,870739,488144
2006-02-03,733520,459411,190221,292100
2006-02-04,20258,783578,426872,948700
2006-02-05,694576,266806,163582,541009
2006-02-06,244626,423439,169610,398825
2006-02-07,211793,341215,546722,276172
2006-02-08,729071,363886,210527,692421
2006-02-09,968359,63397,436891,803811
2006-02-10,50688,314045,668602,863462
2006-02-11,419790,156050,849603,901095
2006-02-12,777991,522973,345004,393316
2006-02-13,993030,884524,437573,571998
2006-02-14,594892,859483,324613,346175
2006-02-15,987362,760192,609701,58702
2006-02-16,649013,525140,882759,115709
2006-02-17,187378,625301,100456,224142
